fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,class,context
7.8,0.21,0.34,11.9,0.039,55,140,0.9959,3.02,0.31,10.3,1,2
6.5,0.26,0.27,12.9,0.044,69,215,0.9967,3.17,0.43,10,1,2
6.8,0.11,0.42,1.1,0.042,51,132,0.99059,3.18,0.74,11.3,1,2
7,0.35,0.17,1.1,0.049,7,119,0.99297,3.13,0.36,9.7,1,2
5.2,0.31,0.36,5.1,0.031,46,145,0.9897,3.14,0.31,12.4,1,2
6.3,0.3,0.29,2.1,0.048,33,142,0.98956,3.22,0.46,12.9,1,2
7.2,0.685,0.21,9.5,0.07,33,172,0.9971,3,0.55,9.1,1,2
6.3,0.24,0.29,13.7,0.035,53,134,0.99567,3.17,0.38,10.6,1,2
7.8,0.25,0.28,7.2,0.04,46,179,0.99541,3.14,0.6,10.1,1,2
7.2,0.16,0.29,1,0.031,40,123,0.98958,3.12,0.4,12.1,1,2
7.7,0.17,0.52,5.9,0.017,21,84,0.9929,3.14,0.4,11.9,1,2
7.2,0.26,0.26,12.7,0.036,49,214,0.9986,3.41,0.5,10,1,2
6.6,0.42,0.33,2.8,0.034,15,85,0.99,3.28,0.51,13.4,1,2
7.1,0.25,0.39,2.1,0.036,30,124,0.9908,3.28,0.43,12.2,1,2
7.1,0.145,0.33,4.6,0.05,33,131,0.9942,3.28,0.4,9.6,1,2
7.7,0.29,0.29,4.8,0.06,27,156,0.99572,3.49,0.59,10.3,1,2
4.4,0.32,0.39,4.3,0.03,31,127,0.98904,3.46,0.36,12.8,1,2
7.5,0.33,0.32,11.1,0.036,25,119,0.9962,3.15,0.34,10.5,1,2
6.3,0.37,0.28,6.3,0.034,45,152,0.9921,3.29,0.46,11.6,1,2
6,0.32,0.32,4.8,0.041,40,186,0.99235,3.22,0.54,11,1,2
5.5,0.16,0.31,1.2,0.026,31,68,0.9898,3.33,0.44,11.6333333333333,1,2
5.1,0.39,0.21,1.7,0.027,15,72,0.9894,3.5,0.45,12.5,1,2
6.8,0.26,0.32,7,0.041,38,118,0.9939,3.25,0.52,10.8,1,2
7.3,0.22,0.37,14.3,0.063,48,191,0.9978,2.89,0.38,9,1,2
7.1,0.36,0.37,4.8,0.019,39,114,0.99036,3.08,0.49,12.7,1,2
6.8,0.37,0.67,1.5,0.175,16,98,0.99244,3.06,0.56,10.3,1,2
6.6,0.2,0.38,7.9,0.052,30,145,0.9947,3.32,0.56,11,1,2
7,0.22,0.32,1.6,0.045,40,120,0.9914,2.98,0.44,10.5,1,2
7.6,0.4,0.27,5.2,0.03,32,101,0.99172,3.22,0.62,12.3,1,2
7.5,0.14,0.74,1.6,0.035,21,126,0.9933,3.26,0.45,10.2,1,2
7,0.21,0.31,6,0.046,29,108,0.9939,3.26,0.5,10.8,1,2
6.6,0.25,0.3,1.6,0.046,32,134,0.993,3.42,0.51,10.1,1,2
6.6,0.26,0.36,1.2,0.035,43,126,0.99094,3.01,0.63,11.4,1,2
6.6,0.23,0.32,1.5,0.041,8,72,0.98949,3.22,0.39,12.7,1,2
7.3,0.25,0.36,2.1,0.034,30,177,0.99085,3.25,0.4,11.9,1,2
7,0.13,0.37,12.85,0.042,36,105,0.99581,3.05,0.55,10.7,1,2
7,0.22,0.28,10.6,0.039,32,117,0.99355,3.05,0.55,11.5,1,2
7.5,0.32,0.49,1.7,0.031,44,109,0.9906,3.07,0.46,12.5,1,2
5.3,0.3,0.3,1.2,0.029,25,93,0.98742,3.31,0.4,13.6,1,2
5.9,0.24,0.3,2,0.033,28,92,0.99225,3.39,0.69,10.9,1,2
6.3,0.25,0.22,3.3,0.048,41,161,0.99256,3.16,0.5,10.5,1,2
6.3,0.27,0.49,1.2,0.063,35,92,0.9911,3.38,0.42,12.2,1,2
7.3,0.18,0.29,1,0.036,26,101,0.99,3.09,0.37,11.7,1,2
6.8,0.27,0.49,1.2,0.044,35,126,0.99,3.13,0.48,12.1,1,2
7,0.2,0.38,8.1,0.05,42,173,0.99585,3.3,0.54,9.8,1,2
5,0.33,0.16,1.5,0.049,10,97,0.9917,3.48,0.44,10.7,1,2
7.4,0.19,0.42,6.4,0.067,39,212,0.9958,3.3,0.33,9.6,1,2
7.1,0.17,0.4,14.55,0.047,47,156,0.99945,3.34,0.78,9.1,1,2
5.8,0.26,0.18,1.2,0.031,40,114,0.9908,3.42,0.4,11,1,2
7.5,0.23,0.32,9.2,0.038,54,191,0.9966,3.04,0.56,9.7,1,2
7.8,0.22,0.26,9,0.047,38,132,0.997,3.25,0.53,10.2,1,2
6.4,0.33,0.3,7.2,0.041,42,168,0.99331,3.22,0.49,11.1,1,2
7.4,0.2,0.28,9.1,0.047,29,95,0.99532,3.16,0.47,9.8,1,2
7.7,0.32,0.48,2.3,0.04,28,114,0.9911,3.2,0.52,12.8,1,2
6.8,0.22,0.32,5.9,0.054,40,152,0.9938,3.2,0.57,10.8,1,2
7.3,0.25,0.36,13.1,0.05,35,200,0.9986,3.04,0.46,8.9,1,2
6.2,0.24,0.29,13.3,0.039,49,130,0.9952,3.33,0.46,11,1,2
6,0.16,0.36,1.6,0.042,13,61,0.99143,3.22,0.54,10.8,1,2
6.4,0.21,0.3,5.6,0.044,43,160,0.9949,3.6,0.41,10.6,1,2
7.2,0.23,0.39,2.3,0.033,29,102,0.9908,3.26,0.54,12.3,1,2
5.9,0.4,0.32,6,0.034,50,127,0.992,3.51,0.58,12.5,1,2
6.8,0.3,0.35,2.8,0.038,10,164,0.9912,3.09,0.53,12,1,2
6.9,0.19,0.35,13.5,0.038,49,118,0.99546,3,0.63,10.7,1,2
6.4,0.24,0.27,1.5,0.04,35,105,0.98914,3.13,0.3,12.4,1,2
7,0.21,0.28,8.7,0.045,37,222,0.9954,3.25,0.54,10.4,1,2
5.2,0.31,0.2,2.4,0.027,27,117,0.98886,3.56,0.45,13,1,2
7.1,0.22,0.74,2.7,0.044,42,144,0.991,3.31,0.41,12.2,1,2
7.6,0.39,0.32,3.6,0.035,22,93,0.99144,3.08,0.6,12.5,1,2
6.2,0.29,0.23,12.4,0.048,33,201,0.99612,3.11,0.56,9.9,1,2
7.7,0.28,0.33,6.7,0.037,32,155,0.9951,3.39,0.62,10.7,1,2
7.3,0.27,0.3,1.3,0.04,26,84,0.99222,3.28,0.53,10.7,1,2
7.1,0.14,0.4,1.2,0.051,55,136,0.9932,3.3,0.96,9.8,1,2
6.8,0.28,0.36,8,0.045,28,123,0.9928,3.02,0.37,11.4,1,2
7.2,0.19,0.27,11.2,0.061,46,149,0.99772,2.99,0.59,9.3,1,2
6,0.2,0.38,1.3,0.034,37,104,0.98865,3.11,0.52,12.7,1,2
7.1,0.25,0.25,1.6,0.046,50,181,0.9925,3.2,0.42,11,1,2
7.4,0.19,0.3,12.8,0.053,48.5,229,0.9986,3.14,0.49,9.1,1,2
6.7,0.44,0.31,1.9,0.03,41,104,0.99,3.29,0.62,12.6,1,2
6.7,0.41,0.24,5.4,0.035,33,115,0.9901,3.12,0.44,12.8933333333333,1,2
7.2,0.29,0.4,13.6,0.045,66,231,0.9977,3.08,0.59,9.6,1,2
6.4,0.32,0.25,5,0.055,28,138,0.99171,3.27,0.5,12.4,1,2
6.8,0.15,0.3,5.3,0.05,40,127,0.9942,3.4,0.39,9.7,1,2
6.4,0.15,0.4,1.5,0.042,23,87,0.98972,3.11,0.46,12.2,1,2
6.7,0.31,0.31,4.9,0.031,20,151,0.9926,3.36,0.82,12,1,2
6.1,0.28,0.16,1.3,0.06,36,126,0.99353,3.13,0.46,8.7,1,2
6.4,0.15,0.36,1.8,0.034,43,150,0.9922,3.42,0.69,11,1,2
7.1,0.23,0.35,16.5,0.04,60,171,0.999,3.16,0.59,9.1,1,2
7.2,0.24,0.27,11.4,0.034,40,174,0.99773,3.2,0.44,9,2,2
7.1,0.85,0.49,8.7,0.028,40,184,0.9962,3.22,0.36,10.7,2,2
5.8,0.28,0.66,9.1,0.039,26,159,0.9965,3.66,0.55,10.8,2,2
7.5,0.23,0.68,11,0.047,37,133,0.9978,2.99,0.38,8.8,2,2
7.2,0.3,0.3,8.7,0.022,14,111,0.99576,3.11,0.61,10.6,2,2
6.5,0.22,0.31,3.9,0.046,17,106,0.99098,3.15,0.31,11.5,2,2
6.4,0.29,0.18,15,0.04,21,116,0.99736,3.14,0.5,9.2,2,2
6.4,0.25,0.41,8.6,0.042,57,173,0.9965,3,0.44,9.1,2,2
6.4,0.34,0.44,8.2,0.043,54,201,0.99551,3.18,0.48,9.5,2,2
7.9,0.2,0.39,1,0.041,37,154,0.99093,3.08,0.43,11.9,2,2
6.2,0.25,0.54,7,0.046,58,176,0.99454,3.19,0.7,10.4,2,2
7.9,0.29,0.39,6.7,0.036,6,117,0.9938,3.12,0.42,10.7,2,2
6.3,0.32,0.26,12.3,0.044,24,205,0.99611,3.11,0.58,9.9,2,2
6.8,0.26,0.43,11.75,0.045,53,198,0.9969,3.26,0.55,9.5,2,2
6,0.24,0.32,6.3,0.03,34,129,0.9946,3.52,0.41,10.4,2,2
8.3,0.4,0.41,8.2,0.05,15,122,0.9979,3.39,0.49,9.3,2,2
4.2,0.215,0.23,5.1,0.041,64,157,0.99688,3.42,0.44,8,2,2
9.8,0.42,0.48,9.85,0.034,5,110,0.9958,2.87,0.29,10,2,2
8.7,0.31,0.73,14.35,0.044,27,191,1.00013,2.96,0.88,8.7,2,2
6.4,0.39,0.21,1.2,0.041,35,136,0.99225,3.15,0.46,10.2,2,2
6.9,0.44,0.18,11.8,0.051,26,126,0.9975,3.23,0.48,9.1,2,2
6.6,0.24,0.27,15.8,0.035,46,188,0.9982,3.24,0.51,9.2,2,2
6.6,0.3,0.24,1.2,0.034,17,121,0.9933,3.13,0.36,9.2,2,2
6.8,0.26,0.24,7.8,0.052,54,214,0.9961,3.13,0.47,8.9,2,2
6.7,0.4,0.22,8.8,0.052,24,113,0.99576,3.22,0.45,9.4,2,2
6.4,0.31,0.26,13.2,0.046,57,205,0.9975,3.17,0.41,9.6,2,2
8,0.32,0.26,1.2,0.05,11.5,88,0.9946,3.24,0.37,9.5,2,2
6.4,0.24,0.28,11.5,0.05,34,163,0.9969,3.31,0.45,9.5,2,2
6.6,0.32,0.24,1.3,0.06,42.5,204,0.99512,3.59,0.51,9.2,2,2
6.7,0.29,0.45,14.3,0.054,30,181,0.99869,3.14,0.57,9.1,2,2
7.2,0.34,0.28,10.4,0.108,43,187,0.99738,2.96,0.57,9.4,2,2
6.5,0.22,0.25,17.1,0.05,44,138,1.0001,3.3,0.37,8.8,2,2
6.5,0.51,0.25,1.7,0.048,39,177,0.99212,3.28,0.57,10.6,2,2
6.2,0.24,0.25,12.5,0.055,47,134,0.99758,3.3,0.51,9,2,2
6.3,0.27,0.23,2.9,0.047,13,100,0.9936,3.28,0.43,9.8,2,2
6.9,0.75,0.13,6.3,0.036,19,50,0.99312,3.09,0.25,11.1,2,2
6.8,0.17,0.32,1.4,0.04,35,106,0.99026,3.16,0.66,12,2,2
9.1,0.27,0.32,1.1,0.031,15,151,0.9936,3.03,0.41,10.6,2,2
6.6,0.15,0.34,5.1,0.055,34,125,0.9942,3.36,0.42,9.6,2,2
7.6,0.48,0.37,0.8,0.037,4,100,0.9902,3.03,0.39,11.4,2,2
6.5,0.39,0.81,1.2,0.217,14,74,0.9936,3.08,0.53,9.5,2,2
7,0.34,0.39,6.9,0.066,43,162,0.99561,3.11,0.53,9.5,2,2
6.9,0.615,0.42,12,0.067,24,131,0.99727,3.19,0.34,9.3,2,2
6.9,0.35,0.55,11.95,0.038,22,111,0.99687,3.11,0.29,9.7,2,2
6.9,0.17,0.25,1.6,0.047,34,132,0.9914,3.16,0.48,11.4,2,2
7.4,0.22,0.33,2,0.045,31,101,0.9931,3.42,0.55,11.4,2,2
8.2,0.28,0.42,1.8,0.031,30,93,0.9917,3.09,0.39,11.4,2,2
7.2,0.17,0.41,1.6,0.052,24,126,0.99228,3.19,0.49,10.8,2,2
7.4,0.27,0.28,1.8,0.04,45,121,0.99043,3.02,0.4,11.9,2,2
7.1,0.28,0.19,7.8,0.04,48,184,0.99579,3.16,0.5,9.4,2,2
7.2,0.4,0.24,8.5,0.055,45,151,0.99626,3.2,0.52,9.2,2,2
6.9,0.43,0.28,9.4,0.056,29,183,0.99594,3.17,0.43,9.4,2,2
7.4,0.27,0.26,11.8,0.053,55,173,0.99699,3.11,0.6,9.8,2,2
6.6,0.36,0.52,10.1,0.05,29,140,0.99628,3.07,0.4,9.4,2,2
7.7,0.25,0.3,7.8,0.038,67,196,0.99555,3.1,0.5,10.1,2,2
5.8,0.2,0.34,1,0.035,40,86,0.98993,3.5,0.42,11.7,2,2
6,0.615,0.04,0.8,0.032,8,50,0.99036,3.14,0.4,11,2,2
6.1,0.27,0.25,1.8,0.041,9,109,0.9929,3.08,0.54,9,2,2
6.9,0.54,0.32,13.2,0.05,53,236,0.9973,3.2,0.5,9.6,2,2
6.1,0.17,0.42,15.1,0.033,28,124,0.99684,2.87,0.47,9.5,2,2
7.6,0.23,0.64,12.9,0.033,54,170,0.998,3,0.53,8.8,2,2
7.7,0.275,0.3,1,0.039,19,75,0.992,3.01,0.56,10.7,2,2
6.4,0.3,0.33,5.2,0.05,30,137,0.99304,3.26,0.58,11.1,2,2
7.3,0.24,0.39,17.95,0.057,45,149,0.9999,3.21,0.36,8.6,2,2
6.4,0.29,0.44,3.6,0.2,75,181,0.9942,3.02,0.41,9.1,2,2
6.4,0.21,0.34,16.05,0.04,56,142,0.99678,3.11,0.38,10.6,2,2
6.8,0.29,0.56,11.9,0.043,66,230,0.9972,3.02,0.63,9.3,2,2
7.4,0.28,0.42,19.8,0.066,53,195,1,2.96,0.44,9.1,2,2
7.6,0.29,0.29,4.4,0.051,26,146,0.9939,3.16,0.39,10.2,2,2
6,0.26,0.34,1.3,0.046,6,29,0.9924,3.29,0.63,10.4,2,2
7.3,0.15,0.4,2,0.05,24,92,0.9932,3.14,0.45,10.5,2,2
8,0.16,0.36,1.5,0.033,14,122,0.9941,3.2,0.39,10.3,2,2
5.8,0.28,0.66,9.1,0.039,26,159,0.9965,3.66,0.55,10.8,2,2
6.3,0.25,0.44,11.6,0.041,48,195,0.9968,3.18,0.52,9.5,2,2
7.2,0.26,0.32,10.4,0.062,23,114,0.9966,3.23,0.49,10.5,2,2
6,0.23,0.15,9.7,0.048,101,207,0.99571,3.05,0.3,9.1,2,2
6.8,0.32,0.3,1,0.049,22,113,0.99289,3.24,0.61,10.2,2,2
7.3,0.3,0.74,13.5,0.039,46,165,0.9982,3.02,0.4,8.7,2,2
9,0.38,0.53,2.1,0.102,19,76,0.99001,2.93,0.57,12.9,2,2
4.8,0.33,0,6.5,0.028,34,163,0.9937,3.35,0.61,9.9,2,2
5.4,0.24,0.18,2.3,0.05,22,145,0.99207,3.24,0.46,10.3,2,2
6.7,0.4,0.22,8.8,0.052,24,113,0.99576,3.22,0.45,9.4,2,2
7.5,0.305,0.4,18.9,0.059,44,170,1,2.99,0.46,9,2,2
7.5,0.42,0.14,10.7,0.046,18,95,0.9959,3.22,0.33,10.7,2,2
7.7,0.34,0.3,8,0.048,25,192,0.9951,2.97,0.47,10.9,2,2
6.8,0.32,0.43,1.6,0.05,4,65,0.99346,3.27,0.47,10.7,2,2
6.6,0.38,0.36,9.2,0.061,42,214,0.9976,3.31,0.56,9.4,2,2
6.8,0.31,0.19,3.5,0.086,30,130,0.993,2.83,0.44,9.6,2,2
6.6,0.27,0.32,1.3,0.044,18,93,0.99044,3.11,0.56,12.25,2,2
7.3,0.32,0.35,1.4,0.05,8,163,0.99244,3.24,0.42,10.7,2,2
7.4,0.32,0.27,1.4,0.049,38,173,0.99335,3.03,0.52,9.3,2,2
8.3,0.21,0.49,19.8,0.054,50,231,1.0012,2.99,0.54,9.2,2,2
8.3,0.27,0.45,1.3,0.048,8,72,0.9944,3.08,0.61,10.3,2,2
7.4,0.33,0.26,15.6,0.049,67,210,0.99907,3.06,0.68,9.5,2,2
7.2,0.46,0.65,10.4,0.05,76,192,0.9976,3.16,0.42,8.7,2,2
6.5,0.22,0.19,4.5,0.096,16,115,0.9937,3.02,0.44,9.6,2,2
6.8,0.21,0.36,18.1,0.046,32,133,1,3.27,0.48,8.8,2,2
7.4,0.18,0.4,1.6,0.047,22,102,0.9937,3.28,0.44,10.7,2,2
8.3,0.4,0.38,1.1,0.038,15,75,0.9934,3.03,0.43,9.2,2,2
6.8,0.44,0.37,5.1,0.047,46,201,0.9938,3.08,0.65,10.5,2,2
7.6,0.18,0.36,2.4,0.049,38,123,0.996,3.6,0.46,10.3,2,2
5.9,0.29,0.16,7.9,0.044,48,197,0.99512,3.21,0.36,9.4,2,2
6.3,0.31,0.34,2.2,0.045,20,77,0.9927,3.3,0.43,10.2,2,2
6.2,0.3,0.17,2.8,0.04,24,125,0.9939,3.01,0.46,9,2,2
7.1,0.26,0.32,16.2,0.044,31,170,0.99644,3.17,0.37,11.2,2,2
7.7,0.28,0.58,12.1,0.046,60,177,0.9983,3.08,0.46,8.9,2,2
6.9,0.34,0.74,11.2,0.069,44,150,0.9968,3,0.81,9.2,2,2
7.2,0.6,0.2,9.9,0.07,21,174,0.9971,3.03,0.54,9.1,2,2
5.6,0.26,0.26,5.7,0.031,12,80,0.9923,3.25,0.38,10.8,2,2
7,0.39,0.24,1,0.048,8,119,0.9923,3,0.31,10.1,2,2
6,0.33,0.18,3,0.036,5,85,0.99125,3.28,0.4,11.5,2,2
6.4,0.28,0.36,1.3,0.053,28,186,0.99211,3.31,0.45,10.8,2,2
6.7,0.54,0.28,5.4,0.06,21,105,0.9949,3.27,0.37,9,2,2
8,0.28,0.42,7.1,0.045,41,169,0.9959,3.17,0.43,10.6,2,2
6.4,0.35,0.21,2.1,0.051,46,171,0.9932,3.16,0.5,9.5,2,2
6.6,0.24,0.22,12.3,0.051,35,146,0.99676,3.1,0.67,9.4,2,2
7.6,0.25,0.34,1.3,0.056,34,176,0.99434,3.1,0.51,9.5,2,2
5.9,0.36,0.04,5.7,0.046,21,87,0.9934,3.22,0.51,10.2,2,2
7.2,0.24,0.27,11.4,0.034,40,174,0.99773,3.2,0.44,9,2,2
6.3,0.3,0.19,7.7,0.049,47,184,0.99514,3.22,0.48,9.5,2,2
7.2,0.5,0,0.8,0.034,46,114,0.9932,3.19,0.34,9.2,2,2
6.9,0.23,0.24,14.2,0.053,19,94,0.9982,3.17,0.5,9.6,2,2
7.8,0.26,0.49,3.1,0.045,21,116,0.9931,3.16,0.35,10.3,2,2
7.6,0.31,0.29,10.5,0.04,21,145,0.9966,3.04,0.35,9.4,2,2
7.1,0.28,0.31,1.5,0.053,20,98,0.99069,3.15,0.5,11.4,2,2
6.7,0.41,0.34,9.2,0.049,29,150,0.9968,3.22,0.51,9.1,2,2
5.7,0.24,0.47,6.3,0.069,35,182,0.99391,3.11,0.46,9.73333333333333,2,2
6.6,0.26,0.56,15.4,0.053,32,141,0.9981,3.11,0.49,9.3,2,2
6.2,0.36,0.26,13.2,0.051,54,201,0.9976,3.25,0.46,9,2,2
7.7,0.43,0.37,10,0.169,22,210,0.99776,3.02,0.64,9.5,2,2
5.1,0.21,0.28,1.4,0.047,48,148,0.99168,3.5,0.49,10.4,2,2
6.5,0.27,0.26,11,0.03,2,82,0.99402,3.07,0.36,11.2,2,2
5.9,0.54,0,0.8,0.032,12,82,0.99286,3.25,0.36,8.8,2,2
6.1,0.38,0.14,3.9,0.06,27,113,0.99344,3.07,0.34,9.2,2,2
6,0.36,0.06,1.4,0.066,27,128,0.9934,3.26,0.55,9.3,2,2
6.6,0.26,0.46,6.9,0.047,59,183,0.99594,3.2,0.45,9.3,2,2
7.1,0.25,0.28,1.2,0.04,31,111,0.99174,3.18,0.53,11.1,2,2
6.8,0.31,0.32,7.6,0.052,35,143,0.9959,3.14,0.38,9,2,2
6.6,0.26,0.22,18.15,0.05,23,139,0.99904,3.06,0.5,9.2,2,2
7,0.47,0.07,1.1,0.035,17,151,0.991,3.02,0.34,10.5,2,2
7,0.35,0.31,1.8,0.069,15,162,0.9944,3.18,0.47,9.4,2,2
6.6,0.37,0.24,2,0.064,23,120,0.9946,3.32,0.54,9.4,2,2
6.2,0.24,0.22,7.9,0.053,45,149,0.99545,3.23,0.52,9.3,2,2
7.1,0.34,0.86,1.4,0.174,36,99,0.99288,2.92,0.5,9.3,2,2
7.6,0.67,0.14,1.5,0.074,25,168,0.9937,3.05,0.51,9.3,2,2
7.1,0.37,0.67,10.5,0.045,49,155,0.9975,3.16,0.44,8.7,2,2
6.9,0.4,0.56,11.2,0.043,40,142,0.9975,3.14,0.46,8.7,2,2
7.5,0.23,0.36,7,0.036,43,161,0.9938,3.04,0.32,11,2,2
7.4,0.27,0.26,11.8,0.053,55,173,0.99699,3.11,0.6,9.8,2,2
5,0.24,0.19,5,0.043,17,101,0.99438,3.67,0.57,10,2,2
6.5,0.32,0.23,8.5,0.051,20,138,0.9943,3.03,0.42,10.7,2,2
7.4,0.24,0.29,10.1,0.05,21,105,0.9962,3.13,0.35,9.5,2,2
8.2,0.31,0.43,7,0.047,18,87,0.99628,3.23,0.64,10.6,2,2
7.5,0.26,0.59,11.8,0.046,58,164,0.99814,3.17,0.46,8.9,2,2
6.8,0.27,0.12,1.3,0.04,87,168,0.992,3.18,0.41,10,2,2
7.1,0.39,0.35,12.5,0.044,26,72,0.9941,3.17,0.29,11.6,2,2
6.6,0.36,0.52,10.1,0.05,29,140,0.99628,3.07,0.4,9.4,2,2
5.9,0.26,0.27,18.2,0.048,52,168,0.9993,3.35,0.44,9.4,2,2
6.4,0.29,0.2,15.6,0.04,20,142,0.9962,3.1,0.54,10.6,2,2
5.3,0.43,0.11,1.1,0.029,6,51,0.99076,3.51,0.48,11.2,2,2
6.4,0.32,0.26,7.9,0.05,53,180,0.99514,3.14,0.5,9.6,2,2
6.3,0.695,0.55,12.9,0.056,58,252,0.99806,3.29,0.49,8.7,2,2
6.9,0.4,0.37,8.9,0.053,36,148,0.996,3.16,0.5,9.3,2,2
7.2,0.19,0.39,1.2,0.036,32,85,0.9918,3.16,0.5,10.5,2,2
6.7,0.18,0.25,14.3,0.048,79,149,0.9975,3.12,0.37,9.7,2,2
6.8,0.21,0.27,18.15,0.042,41,146,1.0001,3.3,0.36,8.7,2,2
7.2,0.15,0.33,1.1,0.027,16,63,0.9937,3.37,0.4,9.9,2,2
6.6,0.24,0.28,1.8,0.028,39,132,0.99182,3.34,0.46,11.4,2,2
6.8,0.51,0.3,4.2,0.066,38,165,0.9945,3.2,0.42,9.1,2,2
6.5,0.32,0.48,8,0.026,18,88,0.99144,3.22,0.79,12.7,2,2
6.8,0.32,0.18,7.5,0.041,71,223,0.9959,3.14,0.41,8.9,2,2
6.6,0.24,0.22,12.3,0.051,35,146,0.99676,3.1,0.67,9.4,2,2
6.9,0.4,0.17,12.9,0.033,59,186,0.99754,3.08,0.49,9.4,2,2
8.2,0.28,0.42,1.8,0.031,30,93,0.9917,3.09,0.39,11.4,2,2
7.9,0.16,0.3,4.8,0.037,37,171,0.9967,3.47,0.44,9,2,2
7,0.15,0.34,1.4,0.039,21,177,0.9927,3.32,0.62,10.8,2,2
7.4,0.24,0.29,10.1,0.05,21,105,0.9962,3.13,0.35,9.5,2,2
7.6,0.27,0.33,2,0.059,19,175,0.9944,3.22,0.56,9.9,2,2
7.3,0.25,0.29,7.5,0.049,38,158,0.9965,3.43,0.38,9.6,2,2
7.1,0.31,0.17,1,0.042,21,144,0.99304,3.13,0.4,9.6,2,2
6.9,0.29,0.23,8.6,0.056,56,215,0.9967,3.17,0.44,8.8,2,2
7.1,0.31,0.25,11.2,0.048,32,136,0.99663,3.14,0.4,9.5,2,2
6.8,0.3,0.23,4.6,0.061,50.5,238.5,0.9958,3.32,0.6,9.5,2,2
6.1,0.24,0.3,1.5,0.045,22,61,0.992,3.31,0.54,10.4,2,2
6.9,0.3,0.36,4.5,0.054,31,203,0.99513,3.4,0.57,10.4,2,2
7,0.35,0.31,1.8,0.069,15,162,0.9944,3.18,0.47,9.4,2,2
6.6,0.22,0.34,11.6,0.05,59,140,0.99526,3.22,0.4,10.8,2,2
6.7,0.265,0.22,8.6,0.048,54,198,0.9955,3.25,0.41,10.2,2,2
7.6,0.345,0.26,1.9,0.043,15,134,0.9936,3.08,0.38,9.5,2,2
9,0.55,0.3,8.1,0.026,14,71,0.993,2.94,0.36,11.8,2,2
9,0.31,0.49,6.9,0.034,26,91,0.9937,2.99,0.34,11.5,2,2
6.8,0.22,0.26,1.2,0.041,29,182,0.99104,3.04,0.35,11.2,2,2
8.4,0.31,0.31,0.95,0.021,52,148,0.99038,2.93,0.32,11.5,2,2
5.8,0.415,0.13,1.4,0.04,11,64,0.9922,3.29,0.52,10.5,2,2
6,0.28,0.25,1.8,0.042,8,108,0.9929,3.08,0.55,9,2,2
6.3,0.18,0.22,5.6,0.047,45,147,0.99383,3.09,0.54,10,2,2
6.6,0.28,0.41,7,0.046,59,194,0.99558,3.14,0.48,9.4,2,2
6.9,0.26,0.49,1.6,0.058,39,166,0.9965,3.65,0.52,9.4,2,2
5.8,0.34,0.21,7.2,0.041,48,146,0.99441,3.16,0.49,9.8,2,2
7.5,0.705,0.1,13,0.044,44,214,0.99741,3.1,0.5,9.1,2,2
7.1,0.33,0.18,6.3,0.094,27,166,0.99474,2.9,0.49,9.5,2,2
7.8,0.21,0.27,1.2,0.051,20,89,0.9936,3.06,0.46,9.1,2,2
6.4,0.41,0.01,6.1,0.048,20,70,0.99362,3.19,0.42,10,2,2
8.4,0.29,0.29,1.05,0.032,4,55,0.9908,2.91,0.32,11.4,2,2
6.6,0.28,0.42,8.2,0.044,60,196,0.99562,3.14,0.48,9.4,2,2
8.2,0.26,0.44,1.3,0.046,7,69,0.9944,3.14,0.62,10.2,2,2
7.1,0.24,0.34,1.2,0.045,6,132,0.99132,3.16,0.46,11.2,2,2
6.8,0.24,0.34,4.6,0.032,37,135,0.9927,3.2,0.39,10.6,2,2
7.6,0.33,0.41,13.7,0.045,44,197,0.9989,3.18,0.64,9.1,2,2
5.1,0.52,0.06,2.7,0.052,30,79,0.9932,3.32,0.43,9.3,2,2
6.6,0.17,0.28,1.8,0.042,62,178,0.99204,3.15,0.42,10.2,2,2
6.6,0.26,0.31,4.8,0.138,41,168,0.9951,3.2,0.38,9.3,2,2
6.4,0.24,0.25,20.2,0.083,35,157,0.99976,3.17,0.5,9.1,2,2
6.1,0.21,0.19,1.4,0.046,51,131,0.99184,3.22,0.39,10.5,2,2
8.9,0.34,0.34,1.6,0.056,13,176,0.9946,3.14,0.47,9.7,2,2
7.5,0.32,0.26,1.8,0.042,13,133,0.9938,3.07,0.38,9.5,2,2
8.9,0.27,0.34,10.7,0.029,19.5,166,0.99669,3.13,0.48,10.6,2,2
6.3,0.3,0.2,3.7,0.039,34,132,0.99158,3,0.38,10.7,2,2
6.2,0.28,0.51,7.9,0.056,49,206,0.9956,3.18,0.52,9.4,2,2
6.5,0.23,0.2,7.5,0.05,44,179,0.99504,3.18,0.48,9.53333333333333,2,2
8,0.74,0.21,4,0.05,24,133,0.99418,3.06,0.38,9.7,2,2
6.7,0.18,0.3,6.4,0.048,40,251,0.9956,3.29,0.52,10,2,2
5.9,0.32,0.19,14.5,0.042,37,115,0.99684,3.16,0.43,10.3,2,2
6.6,0.22,0.37,15.4,0.035,62,153,0.99845,3.02,0.4,9.3,2,2
6.2,0.25,0.38,7.9,0.045,54,208,0.99572,3.17,0.46,9.1,2,2
6.5,0.15,0.55,5.9,0.045,75,162,0.99482,2.97,0.4,9.3,2,2
7.5,0.29,0.26,14.95,0.067,47,178,0.99838,3.04,0.49,9.2,2,2
